,gamma,mean_total_reward
0,0.01,0.719
1,0.014924623115577889,0.748
2,0.01984924623115578,0.748
3,0.024773869346733667,0.746
4,0.029698492462311557,0.762
5,0.03462311557788945,0.757
6,0.03954773869346734,0.729
7,0.04447236180904523,0.749
8,0.04939698492462312,0.735
9,0.05432160804020101,0.713
10,0.0592462311557789,0.746
11,0.06417085427135678,0.728
12,0.06909547738693467,0.726
13,0.07402010050251256,0.737
14,0.07894472361809045,0.752
15,0.08386934673366835,0.76
16,0.08879396984924623,0.702
17,0.09371859296482411,0.735
18,0.09864321608040201,0.745
19,0.1035678391959799,0.719
20,0.10849246231155779,0.729
21,0.11341708542713567,0.746
22,0.11834170854271357,0.722
23,0.12326633165829146,0.761
24,0.12819095477386935,0.726
25,0.13311557788944725,0.727
26,0.13804020100502515,0.722
27,0.14296482412060302,0.715
28,0.14788944723618092,0.731
29,0.1528140703517588,0.743
30,0.1577386934673367,0.739
31,0.16266331658291458,0.753
32,0.16758793969849248,0.737
33,0.17251256281407037,0.739
34,0.17743718592964824,0.743
35,0.18236180904522614,0.741
36,0.18728643216080404,0.742
37,0.19221105527638194,0.729
38,0.1971356783919598,0.743
39,0.2020603015075377,0.728
40,0.2069849246231156,0.733
41,0.21190954773869347,0.735
42,0.21683417085427137,0.746
43,0.22175879396984927,0.738
44,0.22668341708542716,0.734
45,0.23160804020100503,0.774
46,0.23653266331658293,0.744
47,0.24145728643216083,0.726
48,0.2463819095477387,0.748
49,0.2513065326633166,0.741
50,0.2562311557788945,0.718
51,0.2611557788944724,0.759
52,0.2660804020100503,0.729
53,0.2710050251256282,0.723
54,0.275929648241206,0.727
55,0.2808542713567839,0.757
56,0.2857788944723618,0.729
57,0.2907035175879397,0.757
58,0.2956281407035176,0.726
59,0.3005527638190955,0.74
60,0.3054773869346734,0.747
61,0.31040201005025125,0.753
62,0.31532663316582915,0.738
63,0.32025125628140705,0.741
64,0.32517587939698495,0.731
65,0.33010050251256284,0.74
66,0.33502512562814074,0.735
67,0.33994974874371864,0.719
68,0.3448743718592965,0.734
69,0.3497989949748744,0.721
70,0.3547236180904523,0.748
71,0.3596482412060302,0.728
72,0.36457286432160807,0.726
73,0.36949748743718597,0.768
74,0.37442211055276386,0.749
75,0.3793467336683417,0.759
76,0.3842713567839196,0.742
77,0.3891959798994975,0.752
78,0.3941206030150754,0.733
79,0.3990452261306533,0.716
80,0.4039698492462312,0.742
