,gamma,iteration_n,evaluation_step_n,mean_total_reward_default,mean_total_reward_mod,time_default,time_val
0,0.37626262626262624,62,66,0.727,0.712,1.7659952640533447,0.3730003833770752
1,0.702929292929293,52,57,0.737,0.758,1.3050014972686768,0.43730950355529785
2,0.8613131313131313,47,33,0.712,0.731,0.8819992542266846,0.3710010051727295
3,0.5148484848484849,76,62,0.735,0.717,1.8910155296325684,0.38202881813049316
4,0.47525252525252526,57,52,0.724,0.736,1.303992748260498,0.38703370094299316
5,0.46535353535353535,24,81,0.749,0.755,0.961050271987915,0.36699700355529785
6,0.6039393939393939,38,57,0.701,0.761,1.0360326766967773,0.3659992218017578
7,0.19808080808080808,24,66,0.738,0.72,0.8629989624023438,0.3620002269744873
8,0.98010101010101,76,52,0.786,0.75,1.6970324516296387,0.45400261878967285
9,0.5247474747474747,24,19,0.752,0.718,0.524029016494751,0.3619682788848877
10,0.45545454545454545,47,57,0.75,0.729,1.2040448188781738,0.3619983196258545
11,0.3564646464646465,95,81,0.751,0.732,2.8289999961853027,0.3840000629425049
12,0.029797979797979796,100,33,0.74,0.713,1.42799973487854,0.38100266456604004
13,0.24757575757575756,76,71,0.737,0.739,2.056044816970825,0.3759946823120117
14,0.3465656565656566,71,76,0.745,0.718,2.0970005989074707,0.3969995975494385
15,0.21787878787878787,24,90,0.75,0.726,1.0480008125305176,0.36300063133239746
16,0.15848484848484848,81,52,0.723,0.735,1.785001277923584,0.3959963321685791
17,0.8118181818181818,47,52,0.743,0.724,1.1660010814666748,0.3710007667541504
18,0.049595959595959596,38,24,0.742,0.739,0.6690349578857422,0.37596631050109863
19,0.21787878787878787,28,52,0.725,0.728,0.8299980163574219,0.37900328636169434
20,0.08919191919191918,38,95,0.756,0.737,1.5249967575073242,0.370999813079834
21,0.21787878787878787,81,10,0.727,0.724,0.6370041370391846,0.3720364570617676
22,0.12878787878787878,66,47,0.716,0.726,1.3629977703094482,0.3830382823944092
23,0.11888888888888888,52,57,0.749,0.723,1.3859620094299316,0.37068915367126465
24,0.22777777777777777,81,71,0.752,0.749,2.2410008907318115,0.39099884033203125
25,0.6138383838383838,47,10,0.743,0.711,0.5170011520385742,0.3769991397857666
26,0.9306060606060605,62,76,0.726,0.743,2.0599982738494873,0.4629995822906494
27,0.8118181818181818,10,100,0.745,0.734,0.7769994735717773,0.4420003890991211
28,0.29707070707070704,90,81,0.736,0.733,3.339000701904297,0.5540030002593994
29,0.059494949494949496,52,81,0.711,0.742,2.4310011863708496,0.4719967842102051
30,0.6831313131313131,76,90,0.742,0.738,2.9290013313293457,0.4089992046356201
31,0.7326262626262626,19,76,0.736,0.734,0.9225776195526123,0.3979668617248535
32,0.40595959595959596,57,47,0.72,0.746,1.3828027248382568,0.410999059677124
33,0.6336363636363637,81,24,0.725,0.743,1.0619988441467285,0.4140017032623291
34,0.1782828282828283,71,76,0.74,0.731,2.362999439239502,0.437999963760376
35,0.4257575757575757,71,38,0.732,0.731,1.3010330200195312,0.37996578216552734
36,0.6039393939393939,90,33,0.728,0.729,1.410033941268921,0.39896583557128906
37,0.7524242424242424,14,90,0.755,0.722,0.8110001087188721,0.365999698638916
38,0.059494949494949496,90,57,0.736,0.742,2.104034423828125,0.4129667282104492
39,0.3465656565656566,85,66,0.727,0.73,2.407999038696289,0.4010334014892578
40,0.36636363636363634,52,76,0.742,0.743,2.073003053665161,0.5279984474182129
41,0.46535353535353535,76,14,0.756,0.733,1.0899994373321533,0.5109987258911133
42,0.039696969696969696,19,62,0.752,0.743,0.8559999465942383,0.39100074768066406
43,0.43565656565656563,52,19,0.742,0.713,0.8710052967071533,0.4089927673339844
44,0.049595959595959596,43,76,0.73,0.749,1.6430010795593262,0.4010334014892578
45,0.15848484848484848,71,52,0.746,0.748,1.7069664001464844,0.3989989757537842
46,0.5643434343434344,28,95,0.731,0.716,1.3209986686706543,0.3930013179779053
47,0.47525252525252526,95,76,0.744,0.75,2.9557156562805176,0.3919985294342041
48,0.07929292929292929,62,95,0.714,0.696,2.294999122619629,0.3770012855529785
49,0.18818181818181817,76,10,0.753,0.743,0.6199996471405029,0.40200090408325195
